,Modelo,Preço,Link
0,Memoria DDR2 800mhz  2GB  Kingston KVR800D2N6/2G,"R$35,80",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=F%2F1ZzFzU5zDJi7nWwo4HaHXKm6Jcd2zEAuCreRiQNuZKJX5LRb1UScJltTBrFc0g%2F9lapqxuGCdjAhyeOz%2BZFa5EhUjzss6ANJ1KiLbDosrvRUOUFH6Hcw3iflr%2FDyYlS5c%2Fp93Fmr4fhCOOe7xjUGps4DJ5EpWc9p08qZYs7pzbmuS00a%2B1kYyjS68%2BVOfQs%2FzY39a2YwDNGo9%2FOLin2KY%2BVEysxCDpe2eeJGqld6dhuMDXtuo7ZVuUe8a6fspsnzPOxbNnz6ANy1qC8%2BHLaXT1fA9ctkp%2BitGMWC62iph0s04lLZCRLyD8jWUmHRcUh1x6X79Liq%2FE9xLp%2FjhCvOfLvAfs9FvD2aIEcQrx9tGlbr7AckuZ7O7qAOQCTsYqlbO74lC6C%2BQkrnWXAPF6lMMG3SXuDhqPIyPerKaw5Xxzc37Kz7LVGFMN5jlDNASxVqEalqBvsRBh62KAztsqGZ%2BB0UlkV8qQeuEutO%2FCWG0iiMUq4wdcpYeObRVmK1mLvndgs20LGhgJDUw0%2BiVOnQPE%2FZHRt5eIUu9kogz2VjFbz%2FGpRxOe9SmoW5EwCHk4BveFr59pLLMmjxiwNWK9tks8m6ORhZpQ8W%2Blo%2FeFXxmGdNON%2BBogxZyTRaPo%2B%2FHi6tDcJaSYC22blMdJpFb7mfGXMclv7NSOoHwh2Go6hmI5QQH4x4%2B4RJ%2FZ3vL%2Bm4zNR6tZtyUj6qsYuICybwuue9Fo3wpuGNbVGgN%2BxpVARMnLdmlhKIblW0UgJTIioebrD6ngAy6DQYYSBfcHJIZnYWLYEkMpWACbuI90UOg%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
1,Memória RAM color verde  16GB 1 Lenovo 4ZC7A08699,R$1.285,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=0vnACrLD2FCUgm0572cmw4roqTzULeDhoxjqHgPTNorvg2K4FsjlZJaULeSH0pYE7O5q7%2FLueLK%2B7m%2F0Ga2t1yPgueX0BA%2FXmkZqjKdzwygjIOCRQqxHIFFYVzMKcnXBp%2F1CUt642lQrhLYgcqE9qpcVOCPb4t75g02aHRi3T%2B8VMqV8J0gjBUn3jwbgqZv%2FsyqymzAEKAEKrKyIWfosgByx%2Fhs5Kzmoxc6MWOLxrxVD6CEur6OiN0zQWjOPKclUE8Qg8dDSyWyDrRkPntgRcB5DHCU9IxxXpdN6AckMig8YmGVN5aJR2H3ECYTSejzk7Fj0NDwGh14U012cupcRKj0UOpgEmOSYKYYe8bPvNqrfLKvUqBvztpLHXgadKyeoIO2RyrviITOR2VAqdVBUqIPyNtC13RL%2FNIUt%2Bm2gxGnBGu8cBiovgEAhZh8S5Hl2JopGSzKuVkcmTkDnC7zFluU9mXhlehvPDlXs%2FNunHtoXYD7bBk8tYu6izW0lVHFcGss39FzkOnAAIEXCp6E1f73yqjxQIMUM8tepB%2FnRpiGIsliirxSmunyGnFaEAXxdXO7SUO1fzH6HW%2Bn8zTGLrF8BbuIM7uLCNtpzmXwZMkDaZObkF4i1dPVhzJS6jodymu0LdpfGi13jHCDNqgqGsYdqrHAgJyMZ5TuvuqlKXlXTyGUBv7ZCJxMlSwi1WGIuoP64MOBbOl2BwRLVlC0%2Bwg8RYPIQYxut2szI9DxLBLwfrtkwD5gVQOhnR%2BT2hTAAOQ7xJk5HmYJ%2FVfYOvhCeOqOWjiddLeTFciqtcf63sPw%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
2,Memória RAM color verde  16GB 1 Crucial CT16G4SFD824A,R$265,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=y51pMrDFg8IjkpHuIaLkFP397pdDyzuU0ZntpNC7VXLL%2FgGdIvtflxjmmDEKb6I2LEEQTHMcggen%2F1pkPFSQc6j%2B8KE9OmSlvDuVk%2BXCh%2F1ryk%2FY%2BQg%2B1%2BFHSMzd9Y9M92XYrzzTh7cR13FiY%2B%2FTGzB86OlgKmRkIVXXrIrkEgz3d0H8%2FIWiTD8rgP6nUs7IODsNTdRbGFmB8i6WM7NdPWBKab%2F9RsD4%2FUOn8gkmuwnOySnRLnj6K%2FXYGL%2Fmbjn3jUyv7HNixbGWiJIgCAt9%2BMksox5A4EQgSOM%2FDR5K7MmcAJYV6XYunmtU6fIKVjw%2FNjpmqnv9RJvZIAehYUzKqPTVYnXJFc2aEwZarGCmtDZj81y6oNEMTZhPLesaa0g6%2FrWKvUbeJkxHAu06kZuNcufVejf%2BmdbBsoKTh1KRuF0vggQZ8VXwcRI03LjxFi%2Bq7x2BIspoUH7pOdb9tXD7k1YkPR6QqBC%2BOf7mjdD5%2BTup6ptEeCl2feXiobH%2B5JeqvN4DtB86au0NF0rgVWS9JX2mDIUtITA%2FBjPWRUnJ7NdX9Oy5Ji3BhAAVbkhxTxbEwocNrPSZDJABpmTplSgHmuxYrEz9%2BOQW%2FSBA3MeaAfLRE3BCjp4kkhfHkjr2vQgsS%2Bcvfp6frQDNmcKCPcmdYDcEOeTQFT0yvYKEgJFfD0lQ307EP4rYPQ%2Fbscn5XMS6LaUYfhu9OEksNJwBImpR4N%2BIUfgNZ6FOFTq%2BimnPvE0YQM52AsPULHDZskoCE8oX80ChSW8TiXKTVD2Jg9Q2lx112%2FRud%2Fjnl0zvEmYbzFacuIOc&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
3,Memória ValueRAM 1x4GB Kingston KVR1333D3N9/4G Cor Verde,"R$45,76",https://www.mercadolivre.com.br/memoria-valueram-1x4gb-kingston-kvr1333d3n94g-cor-verde/p/MLB6062278#searchVariation%3DMLB6062278%26position%3D6%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
4,Memoria DDR2 800mhz  2GB  Kingston KVR800D2N6/2G,"R$35,80",https://www.mercadolivre.com.br/memoria-ddr2-800mhz-2gb-kingston-kvr800d2n62g/p/MLB6062308#searchVariation%3DMLB6062308%26position%3D9%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
5,Fury Beast Rgb Ddr4 3200mt/s 8gb Memória RAM KF432c16bb2a/8,"R$189,90",https://www.mercadolivre.com.br/fury-beast-rgb-ddr4-3200mts-8gb-memoria-ram-kf432c16bb2a8/p/MLB27791387#searchVariation%3DMLB27791387%26position%3D18%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
6,Memória RAM ValueRAM color verde  4GB 1 Kingston KVR1333D3S9/4G,"R$35,33",https://www.mercadolivre.com.br/memoria-ram-valueram-color-verde-4gb-1-kingston-kvr1333d3s94g/p/MLB6065670#searchVariation%3DMLB6065670%26position%3D26%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
7,"Memória Corsair Vengeance Lpx 16gb(1x16gb), Ddr4, 3000mhz","R$338,90",https://www.mercadolivre.com.br/memoria-corsair-vengeance-lpx-16gb1x16gb-ddr4-3000mhz/p/MLB14729184#searchVariation%3DMLB14729184%26position%3D14%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
8,Memória RAM Gamer color verde  8GB 1 Crucial CT8G4SFS8266,R$144,https://www.mercadolivre.com.br/memoria-ram-gamer-color-verde-8gb-1-crucial-ct8g4sfs8266/p/MLB11011362#searchVariation%3DMLB11011362%26position%3D15%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D1a376e00-b948-4b0a-94c9-828b074dfa3b
9,Memoria Hp 32gb Ddr4 Ecc Hp Dl380 Dl388 Dl180 Dl360 G9 C/nfe,R$1.225,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=V3n5Aa31svfNdTHn%2FV8IKewlKQ0w2bRjcIbxClZEHEdhDrkNAp8XeodqFlLow%2B3BdX2TX1FTr9J6o7uxov5N%2Bp9HOAiSXtH35GpYFYidFHc01PyYWYD0nMsTkqwooSSTXWTqgaoW9YqA9b4xdH3UV1xdcCWEeFcvK2b87gYWArwVgdcEy%2BicO8XrGZFtvsaWMtJR3CUf6ibrvYlhyZ8P5CzPsARMHRI%2F5%2Brn2Xdf76aKX3Dhmqtff5Q3QwYtomBfe8CI4IFs%2FC2XEEg%2BhvqmItYaFthe1z8lyexmhaUpDP16HkOpX%2F9Vthiz2rSBsrNHObWH%2Bzxm2%2Fb2YDG0ilZR2NpFlpDQKNMb9JV64JimtGd7cO%2Fq%2FnKhOB%2BrgGh6rGo8lXov8UldbnfxQQiZy7qa1%2BA1ftAiISSJKlTJaMS%2BG3q089bsjsZD7oiiXuezuOk3CQP7gECt59MUAwQ8DrKiKxnGd7SkBkbhECgpMPdtsrSDj6aF6FzVaDa0WGGUr7hNMzvWvrqleDKiD0Extinc2IoeV3SKP6q8QW3MSEoyvgZqeXa8sRCleVgDKtcp3jCqda3yF7UJGQtIZKhHvewUDjaBChl8iULzLinUaB9lxLmaZl%2B%2FYH8DkBdo8yDj%2Bw0IfrcyPwjLeNxmmEHSM622trT4GLjgE4NKoWkBmnoTEtEaKKGSCvyG0AR8Ca7aSrpXmqfh07wHBXGRKaDpB0ZJHHhY%2FHeMCuluT4%2BwIHDX%2FZjmpDMND%2FSye3MlUDM%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15098%2Cmclics%2Fvariant-candidates%2B31710%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x
